Universitas,Jurusan,Jenis,Daya Tampung,Peminat
INSTITUT PERTANIAN BOGOR,AGRIBISNIS,Saintek,49,"2,274"
INSTITUT PERTANIAN BOGOR,AGRONOMI DAN HORTIKULTURA,Saintek,73,"1,666"
INSTITUT PERTANIAN BOGOR,ARSITEKTUR LANSEKAP,Saintek,33,"1,119"
INSTITUT PERTANIAN BOGOR,BIOKIMIA,Saintek,36,682
INSTITUT PERTANIAN BOGOR,BIOLOGI,Saintek,39,808
INSTITUT PERTANIAN BOGOR,EKONOMI SUMBERDAYA DAN LINGKUNGAN,Saintek,38,751
INSTITUT PERTANIAN BOGOR,ILMU DAN TEKNOLOGI KELAUTAN,Saintek,38,976
INSTITUT PERTANIAN BOGOR,ILMU KOMPUTER,Saintek,48,"2,184"
INSTITUT PERTANIAN BOGOR,KEDOKTERAN HEWAN,Saintek,80,"1,227"
INSTITUT PERTANIAN BOGOR,KIMIA,Saintek,38,654
INSTITUT PERTANIAN BOGOR,KOMUNIKASI DAN PENGEMBANGAN MASYARAKAT,Saintek,47,"1,624"
INSTITUT PERTANIAN BOGOR,KONSERVASI SUMBERDAYAHUTAN& EKOWISATA,Saintek,42,"1,026"
INSTITUT PERTANIAN BOGOR,MANAJEMEN HUTAN,Saintek,40,821
INSTITUT PERTANIAN BOGOR,STATISTIKA,Saintek,32,936
INSTITUT PERTANIAN BOGOR,TEKNIK PERTANIAN DAN BIOSISTEM,Saintek,42,932
INSTITUT PERTANIAN BOGOR,TEKNOLOGI HASIL HUTAN,Saintek,27,803
INSTITUT PERTANIAN BOGOR,TEKNOLOGI INDUSTRI PERTANIAN,Saintek,53,"1,375"
INSTITUT PERTANIAN BOGOR,TEKNOLOGI PANGAN,Saintek,58,"1,703"
INSTITUT PERTANIAN BOGOR,NUTRISI DAN TEKNOLOGI PAKAN,Saintek,41,772
INSTITUT PERTANIAN BOGOR,TEKNOLOGI PRODUKSI TERNAK,Saintek,33,864
INSTITUT PERTANIAN BOGOR,TEKNIK SIPIL DAN LINGKUNGAN,Saintek,33,"1,753"
INSTITUT PERTANIAN BOGOR,TEKNOLOGI & MANAJEMEN PERIKANAN BUDIDAYA,Saintek,48,814
INSTITUT PERTANIAN BOGOR,EKONOMI PEMBANGUNAN,Saintek,31,783
INSTITUT PERTANIAN BOGOR,MANAJEMEN,Saintek,47,"1,920"
INSTITUT PERTANIAN BOGOR,ILMU GIZI,Saintek,36,"2,480"
INSTITUT PERTANIAN BOGOR,EKONOMI SYARIAH,Saintek,32,"1,049"
INSTITUT PERTANIAN BOGOR,MANAJEMEN SUMBERDAYA LAHAN,Saintek,30,524
INSTITUT PERTANIAN BOGOR,PROTEKSI TANAMAN,Saintek,35,691
INSTITUT PERTANIAN BOGOR,MANAJEMEN SUMBERDAYA PERAIRAN,Saintek,36,646
INSTITUT PERTANIAN BOGOR,TEKNOLOGI HASIL PERAIRAN,Saintek,33,638
INSTITUT PERTANIAN BOGOR,TEKNOLOGI & MANAJEMEN PERIKANAN TANGKAP,Saintek,28,304
INSTITUT PERTANIAN BOGOR,SILVIKULTUR,Saintek,29,"1,147"
INSTITUT PERTANIAN BOGOR,METEOROLOGI TERAPAN,Saintek,33,669
INSTITUT PERTANIAN BOGOR,MATEMATIKA,Saintek,23,560
INSTITUT PERTANIAN BOGOR,FISIKA,Saintek,34,446
INSTITUT PERTANIAN BOGOR,ILMU KELUARGA DAN KONSUMEN,Saintek,33,"1,161"
INSTITUT PERTANIAN BOGOR,BISNIS,Saintek,36,"1,250"
INSTITUT PERTANIAN BOGOR,TEKNOLOGI HASIL TERNAK,Saintek,24,564
INSTITUT PERTANIAN BOGOR,AKTUARIA,Saintek,21,"1,441"
INSTITUT TEKNOLOGI KALIMANTAN,FISIKA,Saintek,18,42
INSTITUT TEKNOLOGI KALIMANTAN,MATEMATIKA,Saintek,14,87
INSTITUT TEKNOLOGI KALIMANTAN,TEKNIK MESIN,Saintek,47,295
INSTITUT TEKNOLOGI KALIMANTAN,TEKNIK ELEKTRO,Saintek,42,250
INSTITUT TEKNOLOGI KALIMANTAN,TEKNIK KIMIA,Saintek,32,154
INSTITUT TEKNOLOGI KALIMANTAN,TEKNIK MATERIAL DAN METALURGI,Saintek,28,146
INSTITUT TEKNOLOGI KALIMANTAN,TEKNIK SIPIL,Saintek,35,408
INSTITUT TEKNOLOGI KALIMANTAN,PERENCANAAN WILAYAH DAN KOTA,Saintek,32,384
INSTITUT TEKNOLOGI KALIMANTAN,TEKNIK PERKAPALAN,Saintek,41,127
INSTITUT TEKNOLOGI KALIMANTAN,SISTEM INFORMASI,Saintek,44,381
INSTITUT TEKNOLOGI KALIMANTAN,TEKNIK INDUSTRI,Saintek,48,357
INSTITUT TEKNOLOGI KALIMANTAN,INFORMATIKA,Saintek,36,558
INSTITUT TEKNOLOGI KALIMANTAN,TEKNIK LINGKUNGAN,Saintek,32,307
INSTITUT TEKNOLOGI KALIMANTAN,TEKNIK KELAUTAN,Saintek,38,68
INSTITUT TEKNOLGI SEPULUH NOPEMBER,FISIKA,Saintek,44,384
INSTITUT TEKNOLGI SEPULUH NOPEMBER,MATEMATIKA,Saintek,49,632
INSTITUT TEKNOLGI SEPULUH NOPEMBER,STATISTIKA,Saintek,59,866
INSTITUT TEKNOLGI SEPULUH NOPEMBER,KIMIA,Saintek,44,543
INSTITUT TEKNOLGI SEPULUH NOPEMBER,BIOLOGI,Saintek,37,535
INSTITUT TEKNOLGI SEPULUH NOPEMBER,TEKNIK MESIN,Saintek,80,"1,977"
INSTITUT TEKNOLGI SEPULUH NOPEMBER,TEKNIK ELEKTRO,Saintek,95,"1,697"
INSTITUT TEKNOLGI SEPULUH NOPEMBER,TEKNIK KIMIA,Saintek,76,"1,072"
INSTITUT TEKNOLGI SEPULUH NOPEMBER,TEKNIK FISIKA,Saintek,68,871
INSTITUT TEKNOLGI SEPULUH NOPEMBER,TEKNIK INDUSTRI,Saintek,75,"2,057"
INSTITUT TEKNOLGI SEPULUH NOPEMBER,TEKNIK MATERIAL,Saintek,60,"1,192"
INSTITUT TEKNOLGI SEPULUH NOPEMBER,TEKNIK SIPIL,Saintek,60,"2,253"
INSTITUT TEKNOLGI SEPULUH NOPEMBER,ARSITEKTUR,Saintek,38,"1,563"
INSTITUT TEKNOLGI SEPULUH NOPEMBER,TEKNIK LINGKUNGAN,Saintek,47,"1,156"
INSTITUT TEKNOLGI SEPULUH NOPEMBER,TEKNIK GEOMATIKA,Saintek,44,700
INSTITUT TEKNOLGI SEPULUH NOPEMBER,PERENCANAAN WILAYAH DAN KOTA,Saintek,44,"1,149"
INSTITUT TEKNOLGI SEPULUH NOPEMBER,TEKNIK PERKAPALAN,Saintek,33,887
INSTITUT TEKNOLGI SEPULUH NOPEMBER,TEKNIK KELAUTAN,Saintek,50,766
INSTITUT TEKNOLGI SEPULUH NOPEMBER,TEKNIK SISTEM PERKAPALAN,Saintek,50,878
INSTITUT TEKNOLGI SEPULUH NOPEMBER,INFORMATIKA,Saintek,96,"2,155"
INSTITUT TEKNOLGI SEPULUH NOPEMBER,SISTEM INFORMASI,Saintek,57,"1,889"
INSTITUT TEKNOLGI SEPULUH NOPEMBER,DESAIN PRODUK INDUSTRI,Saintek,27,426
INSTITUT TEKNOLGI SEPULUH NOPEMBER,TEKNIK TRANSPORTASI LAUT,Saintek,20,401
INSTITUT TEKNOLGI SEPULUH NOPEMBER,TEK. SIST PERKAPALAN (GLR GANDA ITS-JERMAN),Saintek,22,421
INSTITUT TEKNOLGI SEPULUH NOPEMBER,TEKNIK KOMPUTER,Saintek,32,962
INSTITUT TEKNOLGI SEPULUH NOPEMBER,TEKNIK GEOFISIKA,Saintek,24,454
INSTITUT TEKNOLGI SEPULUH NOPEMBER,DESAIN INTERIOR,Saintek,24,710
INSTITUT TEKNOLGI SEPULUH NOPEMBER,TEKNIK BIOMEDIK,Saintek,30,924
INSTITUT TEKNOLGI SEPULUH NOPEMBER,SAINS AKTUARIA,Saintek,30,"1,119"
INSTITUT TEKNOLGI SEPULUH NOPEMBER,TEKNOLOGI INFORMASI,Saintek,18,"1,052"
INSTITUT TEKNOLGI SEPULUH NOPEMBER,DESAIN KOMUNIKASI VISUAL,Saintek,24,868
INSTITUT TEKNOLGI SEPULUH NOPEMBER,MANAJEMEN BISNIS,Soshum,44,"1,887"
INSTITUT TEKNOLGI SEPULUH NOPEMBER,STUDI PEMBANGUNAN,Soshum,19,0
INSTITUT TEKNOLOGI SUMATERA,TEKNIK GEOMATIKA,Saintek,61,325
INSTITUT TEKNOLOGI SUMATERA,TEKNIK ELEKTRO,Saintek,91,537
INSTITUT TEKNOLOGI SUMATERA,PERENCANAAN WILAYAH DAN KOTA,Saintek,99,952
INSTITUT TEKNOLOGI SUMATERA,TEKNIK GEOFISIKA,Saintek,93,425
INSTITUT TEKNOLOGI SUMATERA,TEKNIK SIPIL,Saintek,98,"1,052"
INSTITUT TEKNOLOGI SUMATERA,TEKNIK INFORMATIKA,Saintek,107,"1,531"
INSTITUT TEKNOLOGI SUMATERA,FISIKA,Saintek,46,111
INSTITUT TEKNOLOGI SUMATERA,ARSITEKTUR,Saintek,99,619
INSTITUT TEKNOLOGI SUMATERA,TEKNIK LINGKUNGAN,Saintek,74,632
INSTITUT TEKNOLOGI SUMATERA,TEKNIK GEOLOGI,Saintek,63,347
INSTITUT TEKNOLOGI SUMATERA,MATEMATIKA,Saintek,48,320
INSTITUT TEKNOLOGI SUMATERA,TEKNIK MESIN,Saintek,53,555
INSTITUT TEKNOLOGI SUMATERA,BIOLOGI,Saintek,44,430
INSTITUT TEKNOLOGI SUMATERA,TEKNIK INDUSTRI,Saintek,82,"1,073"
INSTITUT TEKNOLOGI SUMATERA,FARMASI,Saintek,83,"2,019"
INSTITUT TEKNOLOGI SUMATERA,TEKNIK KIMIA,Saintek,58,277
INSTITUT TEKNOLOGI SUMATERA,KIMIA,Saintek,51,174
INSTITUT TEKNOLOGI SUMATERA,TEKNIK FISIKA,Saintek,42,79
INSTITUT TEKNOLOGI SUMATERA,TEKNIK KELAUTAN,Saintek,55,376
INSTITUT TEKNOLOGI SUMATERA,SAINS ATMOSFIR DAN KEPLANETAN,Saintek,43,246
INSTITUT TEKNOLOGI SUMATERA,TEKNIK BIOSISTEM,Saintek,35,211
INSTITUT TEKNOLOGI SUMATERA,TEKNOLOGI INDUSTRI PERTANIAN,Saintek,55,0
INSTITUT TEKNOLOGI SUMATERA,TEKNIK SISTEM ENERGI,Saintek,43,0
INSTITUT TEKNOLOGI SUMATERA,TEKNOLOGI PANGAN,Saintek,54,0
INSTITUT TEKNOLOGI SUMATERA,TEKNIK MATERIAL,Saintek,49,0
INSTITUT TEKNOLOGI SUMATERA,TEKNIK PERTAMBANGAN,Saintek,81,0
INSTITUT TEKNOLOGI SUMATERA,ARSITEKTUR LANSKAP,Saintek,43,0
INSTITUT TEKNOLOGI SUMATERA,DESAIN KOMUNIKASI VISUAL,Saintek,51,0
INSTITUT TEKNOLOGI SUMATERA,TEKNIK TELEKOMUNIKASI,Saintek,60,0
INSTITUT TEKNOLOGI SUMATERA,SAINS AKTUARIA,Saintek,57,0
INSTITUT TEKNOLOGI SUMATERA,REKAYASA KEHUTANAN,Saintek,53,0
ISBI ACEH,Seni Tari,Soshum,2,29
ISBI ACEH,Seni Rupa Murni,Soshum,1,21
ISBI ACEH,Kriya Seni,Soshum,5,20
ISBI ACEH,Desain Komunikasi Visual,Soshum,5,48
ISBI BANDUNG,TARI,Soshum,31,196
ISBI BANDUNG,KARAWITAN,Soshum,58,253
ISBI BANDUNG,TEATER,Soshum,21,227
ISBI BANDUNG,SENI MURNI,Soshum,13,317
ISBI BANDUNG,ANTROPOLOGI BUDAYA,Soshum,36,300
ISI DENPASAR,TARI,Soshum,18,49
ISI DENPASAR,SENI KARAWITAN,Soshum,29,61
ISI DENPASAR,"PENDIDIKAN SENI DRAMA, TARI, DAN MUSIK",Soshum,22,106
ISI DENPASAR,MUSIK,Soshum,14,93
ISI DENPASAR,SENI MURNI,Soshum,17,49
ISI DENPASAR,DESAIN INTERIOR,Soshum,16,181
ISI DENPASAR,DESAIN KOMUNIKASI VISUAL,Soshum,29,208
ISI DENPASAR,KRIYA,Soshum,5,22
ISI DENPASAR,FOTOGRAFI,Soshum,10,104
ISI PADANG PANJANG,SENI KARAWITAN,Soshum,22,89
ISI PADANG PANJANG,SENI TARI,Soshum,18,169
ISI PADANG PANJANG,SENI MUSIK,Soshum,26,223
ISI PADANG PANJANG,SENI TEATER,Soshum,2,62
ISI PADANG PANJANG,SENI KRIYA,Soshum,13,64
ISI PADANG PANJANG,TV DAN FILM,Soshum,54,304
ISI PADANG PANJANG,SENI MURNI,Soshum,7,55
ISI PADANG PANJANG,FOTOGRAFI,Soshum,15,201
ISI PADANG PANJANG,DESAIN DAN KOMUNIKASI VISUAL,Soshum,55,288
ISI PADANG PANJANG,ANTROPOLOGI BUDAYA,Soshum,24,92
ISI PADANG PANJANG,PENDIDIKAN KRIYA,Soshum,6,35
ISI SURAKARTA,SENI TARI,Soshum,61,190
ISI SURAKARTA,ETNOMUSIKOLOGI,Soshum,30,65
ISI SURAKARTA,SENI TEATER,Soshum,8,65
ISI SURAKARTA,KRIYA SENI,Soshum,34,95
ISI SURAKARTA,SENI RUPA MURNI,Soshum,40,163
ISI SURAKARTA,DESAIN INTERIOR,Soshum,41,330
ISI SURAKARTA,DESAIN KOMUNIKASI VISUAL,Soshum,40,597
ISI SURAKARTA,TELEVISI DAN FILM,Soshum,48,474
ISI SURAKARTA,FOTOGRAFI,Soshum,32,179
ISI SURAKARTA,SENI KARAWITAN,Soshum,55,130
ISI SURAKARTA,SENI PEDALANGAN,Soshum,19,36
ISI YOGYAKARTA,SENI TARI,Soshum,37,264
ISI YOGYAKARTA,SENI MUSIK,Soshum,27,487
ISI YOGYAKARTA,PENDIDIKAN MUSIK,Soshum,21,292
ISI YOGYAKARTA,PENCIPTAAN MUSIK,Soshum,18,170
ISI YOGYAKARTA,SENI TEATER,Soshum,37,136
ISI YOGYAKARTA,"PENDIDIKAN SENI DRAMA, TARI, DAN MUSIK",Soshum,22,180
ISI YOGYAKARTA,SENI RUPA MURNI,Soshum,42,373
ISI YOGYAKARTA,KRIYA SENI,Soshum,32,163
ISI YOGYAKARTA,DESAIN INTERIOR,Soshum,34,828
ISI YOGYAKARTA,DESAIN KOMUNIKASI VISUAL,Soshum,40,"1,712"
ISI YOGYAKARTA,DESAIN PRODUK,Soshum,18,260
ISI YOGYAKARTA,TELEVISI DAN FILM,Soshum,39,"1,107"
ISI YOGYAKARTA,FOTOGRAFI,Soshum,35,467
ISI YOGYAKARTA,SENI KARAWITAN,Soshum,15,92
ISI YOGYAKARTA,ETNOMUSIKOLOGI,Soshum,18,68
ISI YOGYAKARTA,SENI PEDALANGAN,Soshum,3,13
ISI YOGYAKARTA,TATA KELOLA SENI,Soshum,17,101
UNIVERSITAS AIRLANGGA,PENDIDIKAN DOKTER,Saintek,94,"3,805"
UNIVERSITAS AIRLANGGA,PENDIDIKAN DOKTER GIGI,Saintek,67,"1,956"
UNIVERSITAS AIRLANGGA,PENDIDIKAN APOTEKER,Saintek,97,"2,174"
UNIVERSITAS AIRLANGGA,KEDOKTERAN HEWAN,Saintek,98,"1,341"
UNIVERSITAS AIRLANGGA,MATEMATIKA,Saintek,38,645
UNIVERSITAS AIRLANGGA,BIOLOGI,Saintek,36,794
UNIVERSITAS AIRLANGGA,FISIKA,Saintek,46,388
UNIVERSITAS AIRLANGGA,KIMIA,Saintek,40,647
UNIVERSITAS AIRLANGGA,KESEHATAN MASYARAKAT,Saintek,102,"2,309"
UNIVERSITAS AIRLANGGA,PENDIDIKAN NERS,Saintek,70,997
UNIVERSITAS AIRLANGGA,BUDIDAYA PERAIRAN,Saintek,80,"1,086"
UNIVERSITAS AIRLANGGA,PENDIDIKAN BIDAN,Saintek,28,590
UNIVERSITAS AIRLANGGA,TEKNOBIOMEDIK,Saintek,30,"1,032"
UNIVERSITAS AIRLANGGA,ILMU DAN TEKNOLOGI LINGKUNGAN,Saintek,30,869
UNIVERSITAS AIRLANGGA,SISTEM INFORMASI,Saintek,29,"1,020"
UNIVERSITAS AIRLANGGA,STATISTIKA,Saintek,31,624
UNIVERSITAS AIRLANGGA,ILMU GIZI,Saintek,42,"1,624"
UNIVERSITAS AIRLANGGA,PENDIDIKAN DOKTER HEWAN (PSDKU BANYUWANGI),Saintek,20,300
UNIVERSITAS AIRLANGGA,KESEHATAN MASYARAKAT (PSDKU BANYUWANGI),Saintek,19,384
UNIVERSITAS AIRLANGGA,BUDIDAYA PERAIRAN (PSDKU BANYUWANGI),Saintek,22,203
UNIVERSITAS AIRLANGGA,TEKNOLOGI INDUSTRI HASIL PERIKANAN,Saintek,45,529
UNIVERSITAS AIRLANGGA,ILMU HUKUM,Soshum,104,"2,429"
UNIVERSITAS AIRLANGGA,ILMU ADMINISTRASI NEGARA,Soshum,48,"1,137"
UNIVERSITAS AIRLANGGA,PSIKOLOGI,Soshum,86,"2,821"
UNIVERSITAS AIRLANGGA,SOSIOLOGI,Soshum,38,806
UNIVERSITAS AIRLANGGA,ILMU POLITIK,Soshum,38,857
UNIVERSITAS AIRLANGGA,ILMU HUBUNGAN INTERNASIONAL,Soshum,48,"1,679"
UNIVERSITAS AIRLANGGA,ANTROPOLOGI SOSIAL,Soshum,45,715
UNIVERSITAS AIRLANGGA,EKONOMI PEMBANGUNAN,Soshum,78,"1,327"
UNIVERSITAS AIRLANGGA,MANAJEMEN,Soshum,93,"2,677"
UNIVERSITAS AIRLANGGA,AKUNTANSI,Soshum,91,"2,074"
UNIVERSITAS AIRLANGGA,ILMU KOMUNIKASI,Soshum,47,"1,748"
UNIVERSITAS AIRLANGGA,ILMU SEJARAH,Soshum,37,460
UNIVERSITAS AIRLANGGA,ILMU INFORMASI DAN PERPUSTAKAAN,Soshum,40,829
UNIVERSITAS AIRLANGGA,SASTRA INGGRIS,Soshum,76,"1,286"
UNIVERSITAS AIRLANGGA,SASTRA INDONESIA,Soshum,69,686
UNIVERSITAS AIRLANGGA,SASTRA JEPANG,Soshum,26,464
UNIVERSITAS AIRLANGGA,EKONOMI ISLAM,Soshum,88,"1,258"
UNIVERSITAS AIRLANGGA,AKUNTANSI (PSDKU BANYUWANGI),Soshum,23,218
UNIVERSITAS ANDALAS,Ekonomi Pembangunan,Soshum,43,1346
UNIVERSITAS ANDALAS,Ilmu Hukum,Soshum,189,3603
UNIVERSITAS ANDALAS,Ilmu Sejarah,Soshum,29,413
UNIVERSITAS ANDALAS,Sosiologi,Soshum,46,894
UNIVERSITAS ANDALAS,Antropologi Sosial,Soshum,36,837
UNIVERSITAS ANDALAS,Manajemen,Soshum,62,3198
UNIVERSITAS ANDALAS,Akuntansi,Soshum,63,2012
UNIVERSITAS ANDALAS,Ilmu Politik,Soshum,36,1133
UNIVERSITAS ANDALAS,Ilmu Administrasi Negara,Soshum,39,1922
UNIVERSITAS ANDALAS,Sastra Indonesia,Soshum,33,657
UNIVERSITAS ANDALAS,Sastra Inggris,Soshum,34,982
UNIVERSITAS ANDALAS,Sastra Daerah Minangkabau,Soshum,24,231
UNIVERSITAS ANDALAS,Sastra Jepang,Soshum,26,415
UNIVERSITAS ANDALAS,Ilmu Hubungan Internasional,Soshum,48,1043
UNIVERSITAS ANDALAS,Ilmu Komunikasi,Soshum,35,2141
UNIVERSITAS ANDALAS,Manajemen (Kampus 2 Payakumbuh),Soshum,19,510
UNIVERSITAS ANDALAS,Ekonomi Pembangunan (Kampus 2 Payakumbuh),Soshum,22,352
UNIVERSITAS ANDALAS,Agribisnis,Saintek,55,2143
UNIVERSITAS ANDALAS,Agroekoteknologi,Saintek,60,1176
UNIVERSITAS ANDALAS,Pendidikan Dokter,Saintek,97,3401
UNIVERSITAS ANDALAS,Ilmu Keperawatan,Saintek,67,1218
UNIVERSITAS ANDALAS,Ilmu Kesehatan Masyarakat,Saintek,56,2014
UNIVERSITAS ANDALAS,Pendidikan Dokter Gigi,Saintek,30,1338
UNIVERSITAS ANDALAS,Kimia,Saintek,45,679
UNIVERSITAS ANDALAS,Biologi,Saintek,45,727
UNIVERSITAS ANDALAS,Matematika,Saintek,34,705
UNIVERSITAS ANDALAS,Fisika,Saintek,43,317
UNIVERSITAS ANDALAS,Sistem Komputer,Saintek,29,1438
UNIVERSITAS ANDALAS,Peternakan,Saintek,119,1691
UNIVERSITAS ANDALAS,Teknik Mesin,Saintek,57,1660
UNIVERSITAS ANDALAS,Teknik Sipil,Saintek,80,2373
UNIVERSITAS ANDALAS,Teknik Industri,Saintek,50,1741
UNIVERSITAS ANDALAS,Teknik Lingkungan,Saintek,40,1694
UNIVERSITAS ANDALAS,Teknik Elektro,Saintek,49,1448
UNIVERSITAS ANDALAS,Farmasi,Saintek,59,2830
UNIVERSITAS ANDALAS,Teknik Pertanian,Saintek,37,998
UNIVERSITAS ANDALAS,Teknologi Hasil Pertanian,Saintek,40,1027
UNIVERSITAS ANDALAS,Sistem Informasi,Saintek,31,1771
UNIVERSITAS ANDALAS,Psiklogi,Saintek,43,1903
UNIVERSITAS ANDALAS,Ilmu Tanah,Saintek,34,742
UNIVERSITAS ANDALAS,Peternakan (Kampus II Payakumbuh),Saintek,33,324
UNIVERSITAS ANDALAS,Kebidanan,Saintek,17,646
UNIVERSITAS ANDALAS,Gizi,Saintek,18,1182
UNIVERSITAS ANDALAS,Proteksi Tanaman,Saintek,36,515
UNIVERSITAS ANDALAS,Penyuluhan Pertanian,Saintek,14,316
UNIVERSITAS ANDALAS,Teknologi Industri Pertanian,Saintek,19,0
UNIVERSITAS BANGKA BELITUNG,TEKNIK MESIN,Saintek,8,129
UNIVERSITAS BANGKA BELITUNG,TEKNIK ELEKTRO,Saintek,40,158
UNIVERSITAS BANGKA BELITUNG,TEKNIK PERTAMBANGAN,Saintek,16,222
UNIVERSITAS BANGKA BELITUNG,TEKNIK SIPIL,Saintek,33,263
UNIVERSITAS BANGKA BELITUNG,AGROTEKNOLOGI,Saintek,36,301
UNIVERSITAS BANGKA BELITUNG,MANAJEMEN SUMBERDAYA PERAIRAN,Saintek,21,186
UNIVERSITAS BANGKA BELITUNG,BIOLOGI,Saintek,17,182
UNIVERSITAS BANGKA BELITUNG,AGRIBISNIS,Saintek,33,300
UNIVERSITAS BANGKA BELITUNG,BUDIDAYA PERAIRAN,Saintek,34,178
UNIVERSITAS BANGKA BELITUNG,ILMU KELAUTAN,Saintek,14,81
UNIVERSITAS BANGKA BELITUNG,KIMIA,Saintek,18,68
UNIVERSITAS BANGKA BELITUNG,FISIKA,Saintek,15,34
UNIVERSITAS BANGKA BELITUNG,MATEMATIKA,Saintek,8,0
UNIVERSITAS BANGKA BELITUNG,AKUNTANSI,Soshum,50,445
UNIVERSITAS BANGKA BELITUNG,MANAJEMEN,Soshum,55,709
UNIVERSITAS BANGKA BELITUNG,ILMU HUKUM,Soshum,57,398
UNIVERSITAS BANGKA BELITUNG,SOSIOLOGI,Soshum,29,377
UNIVERSITAS BANGKA BELITUNG,SASTRA INGGRIS,Soshum,24,210
UNIVERSITAS BANGKA BELITUNG,ILMU POLITIK,Soshum,19,139
UNIVERSITAS BANGKA BELITUNG,EKONOMI,Soshum,29,265
UNIVERSITAS BENGKULU,ILMU HUKUM,Soshum,220,"1,311"
UNIVERSITAS BENGKULU,ILMU KESEJAHTERAAN SOSIAL,Soshum,35,437
UNIVERSITAS BENGKULU,EKONOMI PEMBANGUNAN,Soshum,51,543
UNIVERSITAS BENGKULU,MANAJEMEN,Soshum,81,"1,595"
UNIVERSITAS BENGKULU,ILMU ADMINISTRASI NEGARA,Soshum,50,953
UNIVERSITAS BENGKULU,SOSIOLOGI,Soshum,26,443
UNIVERSITAS BENGKULU,ILMU KOMUNIKASI,Soshum,48,"1,081"
UNIVERSITAS BENGKULU,AKUNTANSI,Soshum,92,"1,182"
UNIVERSITAS BENGKULU,PENDIDIKAN LUAR SEKOLAH,Soshum,33,159
UNIVERSITAS BENGKULU,PENDIDIKAN BAHASA DAN SASTRA INDONESIA,Soshum,51,665
UNIVERSITAS BENGKULU,PENDIDIKAN BAHASA INGGRIS,Soshum,59,672
UNIVERSITAS BENGKULU,PENDIDIKAN GURU SEKOLAH DASAR,Soshum,35,"1,465"
UNIVERSITAS BENGKULU,PENDIDIKAN GURU PENDIDIKAN ANAK USIA DINI,Soshum,36,516
UNIVERSITAS BENGKULU,PENDIDIKAN JASMANI DAN KESEHATAN,Soshum,38,618
UNIVERSITAS BENGKULU,BIMBINGAN DAN KONSELING,Soshum,38,496
UNIVERSITAS BENGKULU,ILMU PERPUSTAKAAN,Soshum,28,301
UNIVERSITAS BENGKULU,JURNALISTIK,Soshum,33,386
UNIVERSITAS BENGKULU,AGROEKOTEKNOLOGI,Saintek,61,410
UNIVERSITAS BENGKULU,KEHUTANAN,Saintek,42,478
UNIVERSITAS BENGKULU,PETERNAKAN,Saintek,49,342
UNIVERSITAS BENGKULU,AGRIBISNIS,Saintek,49,837
UNIVERSITAS BENGKULU,TEKNOLOGI INDUSTRI PERTANIAN,Saintek,50,552
UNIVERSITAS BENGKULU,PENDIDIKAN FISIKA,Saintek,33,125
UNIVERSITAS BENGKULU,PENDIDIKAN BIOLOGI,Saintek,32,374
UNIVERSITAS BENGKULU,PENDIDIKAN KIMIA,Saintek,16,150
UNIVERSITAS BENGKULU,PENDIDIKAN MATEMATIKA,Saintek,34,333
UNIVERSITAS BENGKULU,MATEMATIKA,Saintek,31,169
UNIVERSITAS BENGKULU,FISIKA,Saintek,32,67
UNIVERSITAS BENGKULU,BIOLOGI,Saintek,28,273
UNIVERSITAS BENGKULU,KIMIA,Saintek,30,162
UNIVERSITAS BENGKULU,TEKNIK INFORMATIKA,Saintek,46,"1,104"
UNIVERSITAS BENGKULU,TEKNIK SIPIL,Saintek,44,694
UNIVERSITAS BENGKULU,TEKNIK MESIN,Saintek,47,326
UNIVERSITAS BENGKULU,TEKNIK ELEKTRO,Saintek,45,252
UNIVERSITAS BENGKULU,ILMU KELAUTAN,Saintek,32,344
UNIVERSITAS BENGKULU,PENDIDIKAN DOKTER,Saintek,31,905
UNIVERSITAS BENGKULU,ILMU TANAH,Saintek,19,197
UNIVERSITAS BENGKULU,STATISTIKA,Saintek,17,110
UNIVERSITAS BENGKULU,ARSITEKTUR,Saintek,24,171
UNIVERSITAS BENGKULU,SISTEM INFORMASI,Saintek,24,302
UNIVERSITAS BENGKULU,PROTEKSI TANAMAN,Saintek,21,97
UNIVERSITAS BENGKULU,FARMASI,Saintek,14,606
UNIVERSITAS BENGKULU,GEOFISIKA,Saintek,16,36
UNIVERSITAS BENGKULU,PENDIDIKAN IPA,Saintek,32,139
UNIVERSITAS BORNEO TARAKAN,BIMBINGAN DAN KONSELING,Soshum,52,308
UNIVERSITAS BORNEO TARAKAN,PENDIDIKAN BAHASA INDONESIA,Soshum,33,248
UNIVERSITAS BORNEO TARAKAN,PENDIDIKAN BAHASA INGGRIS,Soshum,31,156
UNIVERSITAS BORNEO TARAKAN,EKONOMI PEMBANGUNAN,Soshum,49,332
UNIVERSITAS BORNEO TARAKAN,MANAJEMEN,Soshum,59,607
UNIVERSITAS BORNEO TARAKAN,HUKUM,Soshum,65,366
UNIVERSITAS BORNEO TARAKAN,PENDIDIKAN GURU SEKOLAH DASAR,Soshum,46,377
UNIVERSITAS BORNEO TARAKAN,TEKNIK ELEKTRO,Saintek,29,119
UNIVERSITAS BORNEO TARAKAN,TEKNIK SIPIL,Saintek,31,290
UNIVERSITAS BORNEO TARAKAN,AGRIBISNIS,Saintek,39,184
UNIVERSITAS BORNEO TARAKAN,AGROTEKNOLOGI,Saintek,39,123
